CD_SETOR,APOND
351630905000302,3516309003
351630905000303,3516309004
351630905000304,3516309004
351630905000305,3516309005
351630905000306,3516309005
351630905000307,3516309007
351630905000308,3516309007
351630905000309,3516309007
351630905000310,3516309007
351630905000311,3516309007
351630905000312,3516309007
351630905000313,3516309007
351630905000314,3516309007
351630905000315,3516309007
351630905000316,3516309003
351630905000317,3516309003
351630905000318,3516309005
351630905000319,3516309005
351630905000320,3516309001
351630905000321,3516309001
351630905000322,3516309002
351630905000323,3516309007
351630905000324,3516309008
351630905000325,3516309008
351630905000326,3516309008
351630905000327,3516309008
351630905000328,3516309008
351630905000329,3516309006
351630905000330,3516309006
351630905000333,3516309004
351630905000334,3516309004
351630905000335,3516309006
351630905000336,3516309006
351630905000337,3516309006
351630905000338,3516309006
351630905000339,3516309006
351630905000340,3516309006
351630905000341,3516309005
351630905000342,3516309005
351630905000343,3516309008
351630905000344,3516309008
351630905000345,3516309007
351630905000346,3516309007
351630905000347,3516309004
351630905000348,3516309004
351630905000349,3516309001
351630905000350,3516309001
351630905000351,3516309008
351630905000352,3516309008
351630905000353,3516309008
351630905000354,3516309008
351630905000355,3516309004
351630905000356,3516309004
351630905000357,3516309004
351630905000359,3516309003
351630905000360,3516309003
351630905000361,3516309004
351630905000362,3516309004
351630905000363,3516309004
351630905000364,3516309004
351630905000365,3516309004
351630905000366,3516309004
351630905000367,3516309006
351630905000368,3516309006
351630905000369,3516309006
351630905000370,3516309001
351630905000371,3516309001
351630905000372,3516309002
351630905000373,3516309002
351630905000374,3516309002
351630905000375,3516309006
351630905000376,3516309006
351630905000377,3516309002
351630905000378,3516309002
351630905000379,3516309002
351630905000380,3516309002
351630905000381,3516309002
351630905000382,3516309002
351630905000383,3516309002
351630905000384,3516309002
351630905000385,3516309003
351630905000386,3516309003
351630905000387,3516309003
351630905000388,3516309003
351630905000389,3516309003
351630905000390,3516309003
351630905000391,3516309004
351630905000392,3516309004
351630905000393,3516309007
351630905000394,3516309007
351630905000395,3516309002
351630905000396,3516309002
351630905000397,3516309002
351630905000398,3516309008
351630905000399,3516309008
351630905000400,3516309008
351630905000401,3516309008
351630905000402,3516309002
351630905000403,3516309002
351630905000404,3516309002
351630905000405,3516309002
351630905000406,3516309007
351630905000407,3516309007
351630905000408,3516309002
351630905000409,3516309002
351630905000410,3516309004
351630905000411,3516309004
351630905000412,3516309007
351630905000413,3516309007
351630905000419,3516309006
351630905000420,3516309002
351630905000421,3516309002
351630905000422,3516309005
351630905000423,3516309005
351630905000424,3516309004
351630905000425,3516309004
351630905000426,3516309003
351630905000427,3516309003
351630905000428,3516309003
351630905000429,3516309002
351630905000430,3516309002
351630905000431,3516309008
351630905000432,3516309003
351630905000433,3516309003
351630905000434,3516309008
351630905000435,3516309008
351630905000436,3516309008
351630905000437,3516309005
351630905000438,3516309005
351630905000439,3516309005
351630905000440,3516309005
351630905000441,3516309007
351630905000442,3516309007
351630905000443,3516309007
351630905000444,3516309007
351630905000445,3516309008
351630905000446,3516309003
351630905000447,3516309003
351630905000448,3516309008
351630905000449,3516309008
351630905000450,3516309008
351630905000452,3516309008
351630905000453,3516309008
351630905000454,3516309005
351630905000455,3516309008
351630905000457,3516309008
351630905000458,3516309006
351630905000459,3516309006
351630905000460,3516309006
351630905000461,3516309006
351630905000462,3516309006
351630905000463,3516309005
351630905000464,3516309005
351630905000465,3516309005
351630905000466,3516309005
351630905000468,3516309005
351630905000469,3516309005
351630905000470,3516309003
351630905000471,3516309003
351630905000472,3516309003
351630905000473,3516309008
351630905000474,3516309008
351630905000475,3516309002
351630905000476,3516309002
351630905000477,3516309005
351630905000478,3516309005
351630905000483,3516309005
351630905000486,3516309007
351630905000487,3516309007
351630905000488,3516309005
351630905000491,3516309008
351630905000492,3516309003
351630905000493,3516309006
351630905000494,3516309006
351630905000495,3516309002
351630905000498,3516309004
351630905000500,3516309003
351630905000501,3516309008
351630905000502,3516309008
351630905000504,3516309008
351630905000505,3516309005
351630905000506,3516309006
351630905000507,3516309007
351630905000508,3516309007
351630905000510,3516309005
351630905000512,3516309003
351630905000514,3516309005
351630905000515,3516309005
351630905000518,3516309007
351630905000519,3516309008
351630905000520,3516309006
351630905000522,3516309005
351630905000523,3516309005
351630905000524,3516309005
351630905000525,3516309006
351630905000526,3516309006
351630905000527,3516309005
