CD_SETOR,APOND
351640805000498,3516408001
351640805000499,3516408004
351640805000500,3516408004
351640805000501,3516408004
351640805000502,3516408004
351640805000503,3516408004
351640805000504,3516408004
351640805000505,3516408006
351640805000506,3516408004
351640805000507,3516408004
351640805000508,3516408001
351640805000509,3516408001
351640805000510,3516408001
351640805000511,3516408001
351640805000512,3516408006
351640805000513,3516408003
351640805000514,3516408003
351640805000515,3516408005
351640805000516,3516408005
351640805000517,3516408004
351640805000518,3516408004
351640805000519,3516408006
351640805000520,3516408004
351640805000521,3516408003
351640805000522,3516408002
351640805000523,3516408001
